Patron_1;Patron_2;Patron_3;Patron_4;CurrentPlayerPrestige;CurrentPlayerDeck_PrestigeStrength;CurrentPlayerDeck_PowerStrength;CurrentPlayerDeck_GoldStrength;CurrentPlayerDeck_MiscStrength;CurrentPlayerDeckComboProportion;CurrentPlayerAgent_PowerStrength;CurrentPlayerAgent_GoldStrength;CurrentPlayerAgent_MiscStrength;CurrentPlayerPatronFavour;OpponentPrestige;OpponentDeck_PrestigeStrength;OpponentDeck_PowerStrength;OpponentDeck_GoldStrength;OpponentDeck_MiscStrength;OpponentAgent_PowerStrength;OpponentAgent_GoldStrength;OpponentAgent_MiscStrength;OpponentPatronFavour;WinProbability
0;1;2;5;4;0;0.04411764705882353;1.2794117647058822;0.058823529411764705;0.6470588235294118;0;2.6;0;1;5;0;0.225;1.625;0;0;0;0;0;0
0;1;2;5;5;0;0.04411764705882353;1.2794117647058822;0.058823529411764705;0.6470588235294118;0;0;0;2;9;0;0.2727272727272727;1.4545454545454546;0;0;0;0;2;0
0;1;2;5;9;0;0.041666666666666664;1.2083333333333333;0.05555555555555555;0.6666666666666666;0;0;0;1;13;0;0.4772727272727273;1.3863636363636365;0;0;0;0;1;0
0;1;2;5;15;0;0.039473684210526314;1.3026315789473684;0.05263157894736842;0.6842105263157895;0;3.7;0;2;20;0;0.20454545454545456;1.3863636363636365;0.09090909090909091;0;0;0;1;0
0;1;2;5;19;0;0.039473684210526314;1.3026315789473684;0.05263157894736842;0.6842105263157895;0;3.7;0;2;23;0;0.20454545454545456;1.1136363636363635;0;0;0;0;1;0
0;1;2;5;24;0;0.039473684210526314;1.3026315789473684;0.05263157894736842;0.6842105263157895;0;0;0;2;30;0;0.2727272727272727;1.1818181818181819;0;0;0;0;0;0
0;1;2;5;28;0;0.039473684210526314;1.1973684210526316;0.10526315789473684;0.6842105263157895;0;0;0;2;36;0;0.525;1.125;0;0;0;0;0;0
0;1;2;5;29;0;0.039473684210526314;1.0921052631578947;0.15789473684210525;0.6842105263157895;0;3.7;0;2;41;0;0.4090909090909091;1.3863636363636365;0.06818181818181818;0;2.4;0;0;0
1;5;6;7;0;0;0.18181818181818182;0.9090909090909091;0;0.45454545454545453;0;0;0;0;1;0;0.2;1;0;0;0;0;0;1
1;5;6;7;0;0;0.2;0.9;0;0.5;0;2.4;1.3;1;2;0;0;1.2;0;0;0;0;0;1
1;5;6;7;0;0;0.2222222222222222;1;0;0.5555555555555556;0;0;1.3;1;2;0;0.4;1;0;0;0;0;0;1
1;5;6;7;2;0;0.125;1.25;0;0.5;0;0;1.3;1;2;0;0.8333333333333334;1;0;0;0;0;0;1
1;5;6;7;3;0;0.5;1.25;0;0.625;0;2.4;1.1;1;2;0;1;1.2;0;0;0;0;0;1
1;5;6;7;4;0;0.4444444444444444;1.3333333333333333;0;0.5555555555555556;0;0;0;1;2;0;0.2;1.2;0;0;0;0;1;1
1;5;6;7;8;0;0.3333333333333333;1.5555555555555556;0;0.5555555555555556;0;0;0;1;7;0;1.3333333333333333;1.1666666666666667;0;0;0;0;1;1
1;5;6;7;10;0;0.8888888888888888;1.3333333333333333;0;0.5555555555555556;0;2.4;0;2;11;0;1.6;1.2;0;0;0;0;1;1
1;5;6;7;15;0;1.1;1.2;0;0.6;0;0;0;2;15;0;0.75;1;0;0;0;0;1;1
1;5;6;7;29;0;0.9;1.2;0;0.6;0;2.4;0;2;22;0;0;1.8;0;0;0;0;1;1
1;5;6;7;42;0;0.75;1.25;0;0.625;0;0;0;2;30;0;0.3333333333333333;1.5;0;0;0;0;1;1
1;5;6;7;1;0;0.2;0.9;0;0.4;0;0;0;0;0;0;0.2;0.8;0;0;0;0;0;0
1;5;6;7;2;0;0.2;1;0;0.4;0;0;0;0;0;0;0;1.1666666666666667;0;0;0;0;0;0
1;5;6;7;2;0;0.2;1.1;0;0.4;0;0;0;0;0;0;0.4;0.8;0;0;0;1.3;1;0
1;5;6;7;2;0;0.6363636363636364;1;0;0.45454545454545453;0;0;0;0;0;0;0;1.5;0;0;0;1.3;1;0
1;5;6;7;2;0;0.6;1.2;0;0.4;0;0;0;0;2;0;0.3333333333333333;1;0;0;0;1.1;1;0
1;5;6;7;2;0;0.6;1.2;0;0.4;0;0;0;1;3;0;1;1.3333333333333333;0;0;0;0;1;0
1;5;6;7;7;0;0.8181818181818182;1.1818181818181819;0;0.45454545454545453;0;0;0;1;4;0;0.25;1.25;0;0;0;0;1;0
1;5;6;7;11;0;0.9;1.2;0;0.5;0;0;0;1;8;0;0.75;1.25;0;0;0;0;1;0
1;5;6;7;15;0;0.8888888888888888;1.3333333333333333;0;0.4444444444444444;0;0;0;1;10;0;1.25;1.25;0;0;0;0;2;0
1;5;6;7;22;0;0.8;1.4;0;0.5;0;0;0;1;15;0;0.6;1.4;0;0;0;0;2;0
1;5;6;7;30;0;0.45454545454545453;1.4545454545454546;0;0.5454545454545454;0;0;0;1;29;0;0.6;1.2;0;0;0;0;1;0
1;5;6;7;36;0;0.18181818181818182;1.6363636363636365;0;0.5454545454545454;0;0;0;1;42;0;1;1.3333333333333333;0;0;0;0;1;0
0;1;4;5;1;0;0.075;1.075;0;0.4;0;0;0;0;0;0;0.15;0.95;0;0;0;0;0;1
0;1;4;5;1;0;0.075;1.175;0;0.4;0;0;0;0;0;0;0.5;0.8333333333333334;0.125;0;0;0;0;1
0;1;4;5;1;0;0.06818181818181818;1.25;0;0.45454545454545453;0;0;0;0;1;0;0.125;1.125;0;0;0;0;0;1
0;1;4;5;1;0;0.0625;1.4791666666666667;0;0.5;0;0;0;0;3;0;0.42857142857142855;0.8571428571428571;0.10714285714285714;0;0;0;1;1
0;1;4;5;1;0;0.057692307692307696;1.5961538461538463;0;0.5384615384615384;0;0;0;0;7;0;0;1.1428571428571428;0;0;0;0;1;1
0;1;4;5;1;0;0.05;1.5833333333333333;0.06666666666666667;0.6;0;2.4;0;0;11;0.125;0.46875;0.84375;0.09375;0;0;0;1;1
0;1;4;5;8;0;0.05;1.5833333333333333;0.06666666666666667;0.6;0;0;0;0;16;0;0.46875;1.21875;0.09375;0;0;0;1;1
0;1;4;5;25;0;0.05;1.5833333333333333;0.06666666666666667;0.6;0;2.4;0;1;25;0;0.09375;1.71875;0.125;0;0;0;2;1
0;1;4;5;31;0;0.2;1.45;0.11666666666666667;0.6;0;0;0;1;31;0;0;1.875;0.125;0;0;0;1;1
0;1;4;5;48;0;0.2;1.45;0.11666666666666667;0.6;0;2.4;0;1;38;0;0;1.75;0.125;0;0;0;1;1
0;1;4;5;0;0;0.3409090909090909;0.8863636363636364;0.06818181818181818;0.45454545454545453;0;0;0;0;1;0;0.15;1.15;0;0;0;0;0;0
0;1;4;5;1;0;0.3409090909090909;0.9772727272727273;0.06818181818181818;0.45454545454545453;0;0;0;0;1;0;0.15;0.95;0;0;0;0;0;0
0;1;4;5;3;0;0.3125;0.9791666666666666;0.0625;0.5;0;0;0;1;1;0;0;1.3333333333333333;0;0;0;0;0;0
0;1;4;5;7;0;0.3125;1.0625;0.0625;0.5;0;0;0;1;1;0;0.10714285714285714;1.5357142857142858;0;0;0;0;0;0
0;1;4;5;11;0.07692307692307693;0.28846153846153844;1.0576923076923077;0.057692307692307696;0.5384615384615384;0;0;0;1;1;0;0.09375;1.46875;0;0;0;0;0;0
0;1;4;5;16;0.07692307692307693;0.28846153846153844;1.0576923076923077;0.057692307692307696;0.5384615384615384;0;0;0;2;1;0;0.075;1.575;0.1;0;0;0;0;0
0;1;4;5;25;0.07692307692307693;0.057692307692307696;1.4423076923076923;0.07692307692307693;0.5384615384615384;0;0;0;2;8;0;0.075;1.775;0;0;0;0;0;0
0;1;4;5;31;0.07692307692307693;0.057692307692307696;1.5192307692307692;0.07692307692307693;0.5384615384615384;0;0;0;2;25;0;0;1.7;0.1;0;0;0;1;0
0;1;4;5;38;0.07692307692307693;0.057692307692307696;1.5192307692307692;0.07692307692307693;0.5384615384615384;0;0;0;1;31;0;0.075;1.775;0;0;0;0;0;0
0;1;4;5;38;0.07142857142857142;0.125;1.4107142857142858;0.07142857142857142;0.5714285714285714;0;0;0;1;48;0;0.225;1.4;0.175;0;2.2;0;0;0
0;2;5;6;0;0;0.5227272727272727;0.8863636363636364;0;0.45454545454545453;0;0;0;0;0;0;0;1.3333333333333333;0;0;0;0;0;1
0;2;5;6;0;0;0.7291666666666666;0.8125;0;0.5;0;0;0;1;0;0;0.25;0.9642857142857143;0;0;0;0;0;1
0;2;5;6;1;0;0.9038461538461539;0.75;0.057692307692307696;0.5384615384615384;0;0;0;1;2;0;0.625;0.625;0;0;0;0;0;1
0;2;5;6;2;0;0.9038461538461539;0.75;0.057692307692307696;0.5384615384615384;0;0;0;2;2;0;0.475;0.875;0;0;0;0;0;1
0;2;5;6;11;0;0.9038461538461539;0.75;0.057692307692307696;0.5384615384615384;0;0;0;2;5;0;0.275;0.975;0;0;0;0;0;1
0;2;5;6;13;0;0.9038461538461539;0.8269230769230769;0.057692307692307696;0.5384615384615384;0;0;0;1;7;0;0.1590909090909091;0.9772727272727273;0.13636363636363635;0;0;0;1;1
0;2;5;6;14;0;1;0.7678571428571429;0.10714285714285714;0.5714285714285714;0;0;0;1;10;0;0.3958333333333333;1.2291666666666667;0.20833333333333334;0;0;0;1;1
0;2;5;6;28;0;0.8461538461538461;0.8269230769230769;0.11538461538461539;0.5384615384615384;0;0;0;1;15;0;0.08333333333333333;1.5833333333333333;0.20833333333333334;0;0;0;1;1
0;2;5;6;38;0;0.6153846153846154;0.9807692307692307;0.057692307692307696;0.5384615384615384;0;0;0;1;23;0;0;1.6666666666666667;0.08333333333333333;0;0;0;1;1
0;2;5;6;46;0;0.3333333333333333;1.0625;0.0625;0.5;0;0;0;1;31;0;0.3958333333333333;0.8125;0.20833333333333334;0;0;0;1;1
0;2;5;6;0;0;0.1590909090909091;1.0681818181818181;0;0.45454545454545453;0;0;0;0;0;0;0.2;0.8;0;0;0;0;0;0
0;2;5;6;0;0;0.3958333333333333;0.9791666666666666;0;0.5;0;0;0;1;0;0;0.6666666666666666;1;0;0;0;0;0;0
0;2;5;6;2;0;0.4423076923076923;0.9038461538461539;0;0.5384615384615384;0;0;0;1;0;0;0.10714285714285714;1.1071428571428572;0;0;0;0;0;0
0;2;5;6;2;0;0.4107142857142857;1.0535714285714286;0;0.5714285714285714;0;0;0;0;1;0;0.84375;0.84375;0.09375;0;0;0;1;0
0;2;5;6;5;0;0.38333333333333336;0.9833333333333333;0;0.6;0;0;0;1;2;0;0.75;0.875;0.09375;0;0;0;1;0
0;2;5;6;7;0;0.359375;0.921875;0.09375;0.625;0;0;0;1;11;0;1.34375;0.59375;0.09375;0;0;0;1;0
0;2;5;6;10;0;0.3382352941176471;1.161764705882353;0.14705882352941177;0.6470588235294118;0;0;0;1;13;0;1.09375;0.59375;0.09375;0;0;0;1;0
0;2;5;6;15;0;0.27941176470588236;1.338235294117647;0.14705882352941177;0.6470588235294118;0;0;0;2;14;0;0.7777777777777778;0.75;0.16666666666666666;0;0;0;1;0
0;2;5;6;23;0;0.27941176470588236;1.4558823529411764;0.058823529411764705;0.6470588235294118;0;0;0;2;28;0;0.40625;0.875;0.09375;0;0;0;1;0
0;2;5;6;31;0;0.27941176470588236;1.0441176470588236;0.14705882352941177;0.6470588235294118;0;0;0;2;38;0;0.21875;1.09375;0;0;0;0;1;0
0;2;5;6;35;0;0.27941176470588236;0.9852941176470589;0.14705882352941177;0.6470588235294118;0;0;0;2;46;0;0.32142857142857145;1.1428571428571428;0.10714285714285714;0;0;0;1;0
0;2;4;5;0;0;0.2727272727272727;0.9772727272727273;0.06818181818181818;0.45454545454545453;0;0;0;0;1;0;0.125;1.2916666666666667;0;0;0;0;0;1
0;2;4;5;0;0;0.25;1.2291666666666667;0.0625;0.5;0;0;0;0;1;0;0.15;1.15;0;0;0;0;0;1
0;2;4;5;0;0;0.25;1.3958333333333333;0.0625;0.5;0;0;0;0;1;0;0.32142857142857145;2.0357142857142856;0;0;0;0;0;1
0;2;4;5;2;0;0.25;1.3958333333333333;0.0625;0.5;0;0;0;1;2;0;0.375;1.5;0;0;0;0;0;1
0;2;4;5;2;0;0.2727272727272727;1.4318181818181819;0.06818181818181818;0.5454545454545454;0;0;0;1;2;0;0;1.8;0.1;0;0;0;0;1
0;2;4;5;4;0;0.23076923076923078;1.3653846153846154;0.057692307692307696;0.6153846153846154;0;0;0;1;6;0;0.2727272727272727;1.8181818181818181;0.09090909090909091;0;0;0;0;1
0;2;4;5;6;0;0.3125;1.359375;0.046875;0.6875;0;0;0;0;6;0.08333333333333333;0.25;1.3333333333333333;0;0;0;0;0;1
0;2;4;5;11;0;0.29411764705882354;1.3970588235294117;0.04411764705882353;0.6470588235294118;0;0;0;0;6;0.08333333333333333;0.0625;0.9791666666666666;0;0;0;0;1;1
0;2;4;5;14;0;0.2777777777777778;1.3194444444444444;0.041666666666666664;0.6666666666666666;0;2.4;0;1;6;0.07692307692307693;0.17307692307692307;1.4807692307692308;0;0;0;0;1;1
0;2;4;5;22;0;0.2777777777777778;1.3194444444444444;0.041666666666666664;0.6666666666666666;0;0;0;1;7;0.07692307692307693;0.23076923076923078;1.4615384615384615;0;0;0;0;1;1
0;2;4;5;26;0;0.16666666666666666;1.3194444444444444;0.09722222222222222;0.6666666666666666;0;0;0;0;20;0;0.25;1.6666666666666667;0;0;0;0;1;1
0;2;4;5;31;0;0.2916666666666667;1.2222222222222223;0.09722222222222222;0.6666666666666666;0;0;0;0;22;0;0.2727272727272727;1.2727272727272727;0;0;0;0;1;1
0;2;4;5;34;0;0.2916666666666667;1.0555555555555556;0.1527777777777778;0.6666666666666666;0;2.4;1.3;1;24;0;0.2727272727272727;1.5454545454545454;0;0;0;0;2;1
0;2;4;5;40;0;0.2916666666666667;1.0555555555555556;0.1527777777777778;0.6666666666666666;0;0;1.3;1;24;0.08333333333333333;0.25;1.3333333333333333;0;0;0;0;1;1
0;2;4;5;1;0;0.06818181818181818;1.1590909090909092;0;0.45454545454545453;0;0;0;0;0;0;0;1;0;0;0;0;0;0
0;2;4;5;1;0;0.075;1.275;0;0.5;0;0;0;0;0;0;0.5;0.9583333333333334;0.125;0;0;0;0;0
